Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
100_tc,,,,24-09-2025 04:50:50,24-09-2025 04:54:12,3m - 21.785s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,,,,24-09-2025 04:50:50,24-09-2025 04:50:50,0.111s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:50,24-09-2025 04:50:52,2.166s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:50,24-09-2025 04:50:50,0.022s,PASSED
Video,,,,24-09-2025 04:50:52,24-09-2025 04:50:52,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:52,24-09-2025 04:50:54,2.017s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:52,24-09-2025 04:50:52,0.001s,PASSED
Video,,,,24-09-2025 04:50:54,24-09-2025 04:50:54,0.002s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:54,24-09-2025 04:50:56,2.012s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:54,24-09-2025 04:50:54,0.001s,PASSED
Video,,,,24-09-2025 04:50:56,24-09-2025 04:50:56,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:57,24-09-2025 04:50:59,2.014s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:57,24-09-2025 04:50:57,0.002s,PASSED
Video,,,,24-09-2025 04:50:59,24-09-2025 04:50:59,0.002s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:59,24-09-2025 04:51:01,2.023s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:59,24-09-2025 04:50:59,0.003s,PASSED
Video,,,,24-09-2025 04:51:01,24-09-2025 04:51:01,0.000s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:01,24-09-2025 04:51:03,2.014s,PASSED
